Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
02.03.2023,00.00,392,JPY,10,Єна,2.7005
03.03.2023,00.00,392,JPY,10,Єна,2.6733
04.03.2023,00.00,392,JPY,10,Єна,2.6733
05.03.2023,00.00,392,JPY,10,Єна,2.6733
06.03.2023,00.00,392,JPY,10,Єна,2.6844
07.03.2023,00.00,392,JPY,10,Єна,2.6891
08.03.2023,00.00,392,JPY,10,Єна,2.6858
09.03.2023,00.00,392,JPY,10,Єна,2.6636
10.03.2023,00.00,392,JPY,10,Єна,2.6836
11.03.2023,00.00,392,JPY,10,Єна,2.6836
12.03.2023,00.00,392,JPY,10,Єна,2.6836
13.03.2023,00.00,392,JPY,10,Єна,2.6756
14.03.2023,00.00,392,JPY,10,Єна,2.759
15.03.2023,00.00,392,JPY,10,Єна,2.7285
16.03.2023,00.00,392,JPY,10,Єна,2.758
17.03.2023,00.00,392,JPY,10,Єна,2.7632
18.03.2023,00.00,392,JPY,10,Єна,2.7632
19.03.2023,00.00,392,JPY,10,Єна,2.7632
20.03.2023,00.00,392,JPY,10,Єна,2.7652
21.03.2023,00.00,392,JPY,10,Єна,2.7798
22.03.2023,00.00,392,JPY,10,Єна,2.7656
23.03.2023,00.00,392,JPY,10,Єна,2.7538
24.03.2023,00.00,392,JPY,10,Єна,2.781
25.03.2023,00.00,392,JPY,10,Єна,2.781
26.03.2023,00.00,392,JPY,10,Єна,2.781
27.03.2023,00.00,392,JPY,10,Єна,2.809
28.03.2023,00.00,392,JPY,10,Єна,2.7815
29.03.2023,00.00,392,JPY,10,Єна,2.7951
30.03.2023,00.00,392,JPY,10,Єна,2.7667
31.03.2023,00.00,392,JPY,10,Єна,2.7584
01.04.2023,00.00,392,JPY,10,Єна,2.7584
02.04.2023,00.00,392,JPY,10,Єна,2.7584
03.04.2023,00.00,392,JPY,10,Єна,2.7457
04.04.2023,00.00,392,JPY,10,Єна,2.751
05.04.2023,00.00,392,JPY,10,Єна,2.749
06.04.2023,00.00,392,JPY,10,Єна,2.7817
07.04.2023,00.00,392,JPY,10,Єна,2.781
08.04.2023,00.00,392,JPY,10,Єна,2.781
09.04.2023,00.00,392,JPY,10,Єна,2.781
10.04.2023,00.00,392,JPY,10,Єна,2.776
11.04.2023,00.00,392,JPY,10,Єна,2.7525
12.04.2023,00.00,392,JPY,10,Єна,2.7445
13.04.2023,00.00,392,JPY,10,Єна,2.7342
14.04.2023,00.00,392,JPY,10,Єна,2.7424
15.04.2023,00.00,392,JPY,10,Єна,2.7424
16.04.2023,00.00,392,JPY,10,Єна,2.7424
17.04.2023,00.00,392,JPY,10,Єна,2.7574
18.04.2023,00.00,392,JPY,10,Єна,2.7332
19.04.2023,00.00,392,JPY,10,Єна,2.7312
20.04.2023,00.00,392,JPY,10,Єна,2.7151
21.04.2023,00.00,392,JPY,10,Єна,2.7157
22.04.2023,00.00,392,JPY,10,Єна,2.7157
23.04.2023,00.00,392,JPY,10,Єна,2.7157
24.04.2023,00.00,392,JPY,10,Єна,2.7336
25.04.2023,00.00,392,JPY,10,Єна,2.7162
26.04.2023,00.00,392,JPY,10,Єна,2.725
27.04.2023,00.00,392,JPY,10,Єна,2.7348
28.04.2023,00.00,392,JPY,10,Єна,2.7393
29.04.2023,00.00,392,JPY,10,Єна,2.7393
30.04.2023,00.00,392,JPY,10,Єна,2.7393
01.05.2023,00.00,392,JPY,10,Єна,2.6861
02.05.2023,00.00,392,JPY,10,Єна,2.6727
03.05.2023,00.00,392,JPY,10,Єна,2.6627
04.05.2023,00.00,392,JPY,10,Єна,2.6987
05.05.2023,00.00,392,JPY,10,Єна,2.7209
06.05.2023,00.00,392,JPY,10,Єна,2.7209
07.05.2023,00.00,392,JPY,10,Єна,2.7209
08.05.2023,00.00,392,JPY,10,Єна,2.7236
09.05.2023,00.00,392,JPY,10,Єна,2.7049
10.05.2023,00.00,392,JPY,10,Єна,2.71
11.05.2023,00.00,392,JPY,10,Єна,2.7025
12.05.2023,00.00,392,JPY,10,Єна,2.7256
13.05.2023,00.00,392,JPY,10,Єна,2.7256
14.05.2023,00.00,392,JPY,10,Єна,2.7256
15.05.2023,00.00,392,JPY,10,Єна,2.7103
16.05.2023,00.00,392,JPY,10,Єна,2.686
17.05.2023,00.00,392,JPY,10,Єна,2.6917
18.05.2023,00.00,392,JPY,10,Єна,2.6693
19.05.2023,00.00,392,JPY,10,Єна,2.653
20.05.2023,00.00,392,JPY,10,Єна,2.653
21.05.2023,00.00,392,JPY,10,Єна,2.653
22.05.2023,00.00,392,JPY,10,Єна,2.6417
23.05.2023,00.00,392,JPY,10,Єна,2.6454
24.05.2023,00.00,392,JPY,10,Єна,2.642
25.05.2023,00.00,392,JPY,10,Єна,2.6427
26.05.2023,00.00,392,JPY,10,Єна,2.6196
27.05.2023,00.00,392,JPY,10,Єна,2.6196
28.05.2023,00.00,392,JPY,10,Єна,2.6196
29.05.2023,00.00,392,JPY,10,Єна,2.6166
